Id,SalePrice
1461,115568.47
1462,154784.44
1463,184716.31
1464,193552.22
1465,198371.22
1466,172107.9
1467,162276.47
1468,172002.72
1469,181092.33
1470,124206.95
1471,194561.45
1472,95406.48
1473,94284.14
1474,149616.47
1475,136917.55
1476,365022.47
1477,272401.97
1478,301301.03
1479,179684.69
1480,484331.66
1481,307191.62
1482,212542.39
1483,169992.6
1484,169134.47
1485,179001.69
1486,192304.84
1487,309237.56
1488,236735
1489,226810.66
1490,208219.25
1491,179947.89
1492,90271.75
1493,191113.48
1494,292604.28
1495,305752.34
1496,255809.25
1497,171717.14
1498,158008.27
1499,152759
1500,145626.22
1501,182273.62
1502,162452.77
1503,290772.7
1504,221933.88
1505,230889.88
1506,201136.19
1507,243551.95
1508,228513.48
1509,160352.53
1510,148145.34
1511,142944.45
1512,160950.89
1513,153926.86
1514,187495.58
1515,215551.03
1516,149343.42
1517,154539.2
1518,130932.41
1519,231816.9
1520,133988.98
1521,141825.55
1522,170556.44
1523,109691.61
1524,127729.9
1525,125053.625
1526,132889.06
1527,94821.94
1528,136155.95
1529,140453.6
1530,186046.39
1531,107696.88
1532,103109.77
1533,146371.45
1534,125179.73
1535,145225.62
1536,111167.38
1537,69862.75
1538,175074.48
1539,214109.22
1540,107366.46
1541,159961.36
1542,142399.66
1543,232138.06
1544,73135.91
1545,117409.055
1546,127893.1
1547,130057.766
1548,126770.22
1549,115168.734
1550,155653.28
1551,111246.78
1552,147329.42
1553,151849.5
1554,114021.18
1555,173439.6
1556,92057.23
1557,105549.4
1558,96078.47
1559,81324.52
1560,136838.62
1561,144432.39
1562,130632.7
1563,120106.055
1564,153998.64
1565,151733.66
1566,230164.95
1567,77139.53
1568,227860.33
1569,155409.58
1570,146341.11
1571,142093.52
1572,158750.7
1573,249446.03
1574,87135.45
1575,214593.14
1576,226651.05
1577,198818.06
1578,159743.81
1579,151553.19
1580,194147.48
1581,150367.42
1582,125084.29
1583,321689.84
1584,218953.47
1585,142538.73
1586,86765.234
1587,93158.87
1588,154902.11
1589,110147.5
1590,135750.73
1591,93391.06
1592,118702.35
1593,128035.47
1594,136036.67
1595,111686.03
1596,243295.75
1597,168809.33
1598,210180.98
1599,159357.62
1600,156436.42
1601,74088.64
1602,119088.97
1603,101002.94
1604,274819.6
1605,231306.55
1606,176595.28
1607,144941.45
1608,218160.94
1609,198471.8
1610,166611.5
1611,146040.69
1612,167075.28
1613,164433.11
1614,129712.18
1615,87832.445
1616,71643.734
1617,88831.04
1618,131167.4
1619,145884.45
1620,161944.06
1621,129645.88
1622,149750.11
1623,329362.44
1624,229457.9
1625,130335.99
1626,171812.66
1627,188981.58
1628,292170.8
1629,179141.05
1630,361282.38
